	label	title	auth	year	freq	htid	file	path	words	read	pre	verb	nounp
1338	theo	A handbook of Christian ethics. By J. Clark Murray, ...	Murray, John Clark, 1836-1917.	1908.0	0.11158904	uc2.ark:/13960/t3ws8kk7p	uc2.ark+=13960=t3ws8kk7p	basic/uc2/pairtree_root/ar/k+/=1/39/60/=t/3w/s8/kk/7p/ark+=13960=t3ws8kk7p/uc2.ark+=13960=t3ws8kk7p.basic.json.bz2	20708.0	11.13560891126141	0.4043583535108959	0.11372416457407765	0.05886613869036121
1339	p	The intuitions of the mind inductively investigated / by James M'Cosh.	McCosh, James, 1811-1894.	1867.0	0.11158715	uc2.ark:/13960/t17m0cg65	uc2.ark+=13960=t17m0cg65	basic/uc2/pairtree_root/ar/k+/=1/39/60/=t/17/m0/cg/65/ark+=13960=t17m0cg65/uc2.ark+=13960=t17m0cg65.basic.json.bz2	10928.0	10.305408455060135	0.44838176234349164	0.13232064421669107	0.02068081991215227
1340	theo	God; an enquiry into the nature of man's highest ideal and a solution of the problem from the standpoint of science.	Carus, Paul, 1852-1919.	1908.0	0.11157972599999999	uc2.ark:/13960/t0xp6wx63	uc2.ark+=13960=t0xp6wx63	basic/uc2/pairtree_root/ar/k+/=1/39/60/=t/0x/p6/wx/63/ark+=13960=t0xp6wx63/uc2.ark+=13960=t0xp6wx63.basic.json.bz2	55967.0	13.269359739851318	0.3922788356522152	0.12979076956063396	0.02278128182679079
1341	x	Notes on chemical research : an account of certain conditions which apply to original investigation / by W.P. Dreaper.	Dreaper, W. P. 1868-1938.	1913.0	0.111574971	uc2.ark:/13960/t9183622t	uc2.ark+=13960=t9183622t	basic/uc2/pairtree_root/ar/k+/=1/39/60/=t/91/83/62/2t/ark+=13960=t9183622t/uc2.ark+=13960=t9183622t.basic.json.bz2	325205.0	15.704445922565473	0.3712605899423773	0.11899878538152857	0.04537753109577036
1342	sci	The ethical aspects of evolution regarded as the parallel growth of opposite tendencies,	Benett, William.	1908.0	0.11156050699999999	uc2.ark:/13960/t0ft8gj8z	uc2.ark+=13960=t0ft8gj8z	basic/uc2/pairtree_root/ar/k+/=1/39/60/=t/0f/t8/gj/8z/ark+=13960=t0ft8gj8z/uc2.ark+=13960=t0ft8gj8z.basic.json.bz2	5340.0	13.346975591558309	0.3223654957759004	0.11685393258426967	0.05955056179775281
1343	theo	Brahmadarsanam; or, Intuition of the absolute,	Ä€nanda Ä€chÄÅrya.	1917.0	0.111544534	uc2.ark:/13960/t2p55gp6t	uc2.ark+=13960=t2p55gp6t	basic/uc2/pairtree_root/ar/k+/=1/39/60/=t/2p/55/gp/6t/ark+=13960=t2p55gp6t/uc2.ark+=13960=t2p55gp6t.basic.json.bz2	12713.0	12.409934051268511	0.4123076923076923	0.12160780303626209	0.0667033744985448
1344	soc	The super-state and the 'eternal values'; being the Herbert Spencer lecture delivered before the University of Oxford on Wednesday, March 15, 1916, by J. Mark Baldwin ...	Baldwin, James Mark, 1861-1934.	1916.0	0.111535199	uc2.ark:/13960/t16m34x1h	uc2.ark+=13960=t16m34x1h	basic/uc2/pairtree_root/ar/k+/=1/39/60/=t/16/m3/4x/1h/ark+=13960=t16m34x1h/uc2.ark+=13960=t16m34x1h.basic.json.bz2	14834.0	11.675325944092577	0.42200134770889486	0.11851152757179452	0.043144128353781855
1345	soc	"On the way to freedom. Away with ""divine right""; After the war is over? [By] George W. Morehouse ..."	Morehouse, George Wilkinson, 1840-	1917.0	0.111520737	loc.ark:/13960/t7dr3bx2c	loc.ark+=13960=t7dr3bx2c	basic/loc/pairtree_root/ar/k+/=1/39/60/=t/7d/r3/bx/2c/ark+=13960=t7dr3bx2c/loc.ark+=13960=t7dr3bx2c.basic.json.bz2	34790.0	10.513659058403295	0.39769864506025737	0.11319344639264156	0.02454728370221328
1346	theo	The religion of power : a study of Christianity in relation to the quest for salvation in the Graeco-Roman world, and its significance for the present age / by Harris E. Kirk, D.D.	Kirk, Harris Elliott, 1872-1953.	1916.0	0.11151520699999999	yale.39002014078670	yale.39002014078670	basic/yale/pairtree_root/39/00/20/14/07/86/70/39002014078670/yale.39002014078670.basic.json.bz2	107200.0	15.881071709712106	0.36720021374268297	0.12423507462686567	0.03958955223880597
1347	theo	Studies in Christianity, by Borden Parker Bowne.	Bowne, Borden Parker, 1847-1910.	1909.0	0.111468839	yale.39002088677357	yale.39002088677357	basic/yale/pairtree_root/39/00/20/88/67/73/57/39002088677357/yale.39002088677357.basic.json.bz2	131338.0	11.314473399052613	0.4362847083299992	0.14260914586791332	0.02457780687995858
1348	theo	Society the redeemed form of man, and the earnest of God's omnipotence in human nature : affirmed in letters to a friend, by Henry James.	James, Henry, 1811-1882.	1879.0	0.111468607	uc2.ark:/13960/t4sj1pr40	uc2.ark+=13960=t4sj1pr40	basic/uc2/pairtree_root/ar/k+/=1/39/60/=t/4s/j1/pr/40/ark+=13960=t4sj1pr40/uc2.ark+=13960=t4sj1pr40.basic.json.bz2	99693.0	10.367156592320931	0.47753185781354796	0.12343895759983148	0.04242023010642673
1349	p	Shaftesbury's ethical principle of adaptation to universal harmony ... by Alexander Lyons ...	Lyons, Alexander, 1867-1939.	1909.0	0.11145320199999999	uc2.ark:/13960/t44q7sv36	uc2.ark+=13960=t44q7sv36	basic/uc2/pairtree_root/ar/k+/=1/39/60/=t/44/q7/sv/36/ark+=13960=t44q7sv36/uc2.ark+=13960=t44q7sv36.basic.json.bz2	7450.0	12.429425799380798	0.41422160856057993	0.14322147651006711	0.02174496644295302
1350	theo	Buddhism and immortality / by William Sturgis Bigelow.	Bigelow, William Sturgis, 1850-1926.	1908.0	0.111452348	uc2.ark:/13960/t41r6r639	uc2.ark+=13960=t41r6r639	basic/uc2/pairtree_root/ar/k+/=1/39/60/=t/41/r6/r6/39/ark+=13960=t41r6r639/uc2.ark+=13960=t41r6r639.basic.json.bz2	126841.0	13.866253567955088	0.42099731903485255	0.1134254696825159	0.03611608233930669
1351	p	The new philosophy of Henri Bergson. Trans. from the French by Vincent Benson.	Le Roy, Ã‰douard Louis Emmanuel Julien, 1870-1954.; Benson, Vincent	1913.0	0.111450231	uc2.ark:/13960/t2g73j217	uc2.ark+=13960=t2g73j217	basic/uc2/pairtree_root/ar/k+/=1/39/60/=t/2g/73/j2/17/ark+=13960=t2g73j217/uc2.ark+=13960=t2g73j217.basic.json.bz2	20070.0	16.085543500845976	0.34923687056844127	0.1173891380169407	0.021375186846038865
1352	p	Historical philosophy in France and French Belgium and Switzerland, by Robert Flint.	Flint, Robert, 1838-1910.	1894.0	0.11142067	loc.ark:/13960/t9j39fp1h	loc.ark+=13960=t9j39fp1h	basic/loc/pairtree_root/ar/k+/=1/39/60/=t/9j/39/fp/1h/ark+=13960=t9j39fp1h/loc.ark+=13960=t9j39fp1h.basic.json.bz2	127010.0	15.411954704495333	0.3857316630743294	0.09196126289268562	0.034619321313282415
1353	sci	The relation of pure science to industrial research.	Carty, John Joseph, 1861-1932.	1916.0	0.111401044	uc2.ark:/13960/t3zs2p947	uc2.ark+=13960=t3zs2p947	basic/uc2/pairtree_root/ar/k+/=1/39/60/=t/3z/s2/p9/47/ark+=13960=t3zs2p947/uc2.ark+=13960=t3zs2p947.basic.json.bz2	100187.0	10.343416504486125	0.4768358101691435	0.12332937407048819	0.04229091598710411
1354	p	John Locke and formal discipline ... by Frederick Arthur Hodge ...	Hodge, Frederick Arthur, b. 1872.	1911.0	0.111376585	loc.ark:/13960/t5z610r3m	loc.ark+=13960=t5z610r3m	basic/loc/pairtree_root/ar/k+/=1/39/60/=t/5z/61/0r/3m/ark+=13960=t5z610r3m/loc.ark+=13960=t5z610r3m.basic.json.bz2	25896.0	17.119641550460667	0.5270112359550562	0.14060086499845537	0.017106889094840903
1355	x	Applied psychology ... : a series of twelve volumes on the application of psychology to the problems of personal and business efficiency / by Warren Hilton.	Hilton, Warren, b. 1874.; Society of Applied Psychology.	1919.0	0.111370551	uc2.ark:/13960/t2b85683m	uc2.ark+=13960=t2b85683m	basic/uc2/pairtree_root/ar/k+/=1/39/60/=t/2b/85/68/3m/ark+=13960=t2b85683m/uc2.ark+=13960=t2b85683m.basic.json.bz2	116690.0	14.13944136807022	0.40360255143293505	0.1146285028708544	0.020481617962121862
1356	ed	Handbook of practice for teachers; practical directions for management and instruction, by Charles A. McMurray ...	McMurray, Charles Alexander, 1857-	1914.0	0.11136869199999999	loc.ark:/13960/t1wd4c620	loc.ark+=13960=t1wd4c620	basic/loc/pairtree_root/ar/k+/=1/39/60/=t/1w/d4/c6/20/ark+=13960=t1wd4c620/loc.ark+=13960=t1wd4c620.basic.json.bz2	204466.0	8.989246068303217	0.38510981610636225	0.11444934610155233	0.07065233339528332
1357	p	Essays in philosophy / by Alexander Campbell Fraser.	Fraser, Alexander Campbell, 1819-1914.	1856.0	0.111357178	uc2.ark:/13960/t6057p111	uc2.ark+=13960=t6057p111	basic/uc2/pairtree_root/ar/k+/=1/39/60/=t/60/57/p1/11/ark+=13960=t6057p111/uc2.ark+=13960=t6057p111.basic.json.bz2	2239.0	19.939868927318084	0.22626025791324736	0.08083966056275123	0.1125502456453774
1358	p	Studies in Hegelian cosmology / by John McTaggart Ellis McTaggart.	McTaggart, John McTaggart Ellis, 1866-1925.	1901.0	0.111333005	uc2.ark:/13960/t5k933x3g	uc2.ark+=13960=t5k933x3g	basic/uc2/pairtree_root/ar/k+/=1/39/60/=t/5k/93/3x/3g/ark+=13960=t5k933x3g/uc2.ark+=13960=t5k933x3g.basic.json.bz2	41648.0	10.7637644467442	0.4165090516076736	0.1199337303111794	0.04276315789473684
1359	theo	Genesis of the social conscience; the relation between the establishment of Christianity in Europe and the social question.	Nash, Henry Sylvester, 1854-1912.	1910.0	0.11132067300000001	uc2.ark:/13960/t05x27n4r	uc2.ark+=13960=t05x27n4r	basic/uc2/pairtree_root/ar/k+/=1/39/60/=t/05/x2/7n/4r/ark+=13960=t05x27n4r/uc2.ark+=13960=t05x27n4r.basic.json.bz2	15487.0	16.94461830392004	0.42859775198083655	0.12597662555691871	0.010331245560792924
1360	?	The law of the land: Minister Phelps' address at Edinburgh, November 12, 1886.	Phelps, Edward John, 1822-1900.; YA Pamphlet Collection (Library of Congress)	1886.0	0.11130742099999999	loc.ark:/13960/t0ns1h16j	loc.ark+=13960=t0ns1h16j	basic/loc/pairtree_root/ar/k+/=1/39/60/=t/0n/s1/h1/6j/ark+=13960=t0ns1h16j/loc.ark+=13960=t0ns1h16j.basic.json.bz2	1332.0	14.508276397515527	0.3738656987295826	0.13513513513513514	0.024774774774774775
1361	?	Discourses and essays.	Shedd, William G. T. 1820-1894.	1862.0	0.11130176900000001	uc2.ark:/13960/t7zk58s94	uc2.ark+=13960=t7zk58s94	basic/uc2/pairtree_root/ar/k+/=1/39/60/=t/7z/k5/8s/94/ark+=13960=t7zk58s94/uc2.ark+=13960=t7zk58s94.basic.json.bz2	9831.0	11.6877877227524	0.48429710867397807	0.12948835316854848	0.020242091343708676
1363	ed	The problem of vocational education, by David Snedden.	Snedden, David, 1868-1951.	1910.0	0.111260703	loc.ark:/13960/t1dj65j8p	loc.ark+=13960=t1dj65j8p	basic/loc/pairtree_root/ar/k+/=1/39/60/=t/1d/j6/5j/8p/ark+=13960=t1dj65j8p/loc.ark+=13960=t1dj65j8p.basic.json.bz2	12704.0	16.49105282288024	0.36067101584342964	0.12602329974811083	0.02511020151133501
1364	?	The riddle of the universe at the close of the nineteenth century / by Ernst Haeckel ; translated by Joseph McCabe.	Haeckel, Ernst, 1834-1919.; McCabe, Joseph, 1867-1955.	1900.0	0.111246576	uc2.ark:/13960/t6154h42z	uc2.ark+=13960=t6154h42z	basic/uc2/pairtree_root/ar/k+/=1/39/60/=t/61/54/h4/2z/ark+=13960=t6154h42z/uc2.ark+=13960=t6154h42z.basic.json.bz2	33068.0	17.016999980490215	0.36703853152939314	0.12383573243014395	0.02739808878674247
1365	theo	Genesis of the social conscience; the relation between the establishment of Christianity in Europe and the social question, by H. S. Nash.	Nash, Henry Sylvester, 1854-1912.	1897.0	0.111242122	uc2.ark:/13960/t93778s6s	uc2.ark+=13960=t93778s6s	basic/uc2/pairtree_root/ar/k+/=1/39/60/=t/93/77/8s/6s/ark+=13960=t93778s6s/uc2.ark+=13960=t93778s6s.basic.json.bz2	7181.0	11.638261791170219	0.39288090485695276	0.1211530427517059	0.03704219468040663
1366	x	The fulfilling of the vision. A concise account of man's destiny with an inquiry as to whether spirit communication is probable ...	DuBois, James C.	1919.0	0.11123863	yale.39002088663217	yale.39002088663217	basic/yale/pairtree_root/39/00/20/88/66/32/17/39002088663217/yale.39002088663217.basic.json.bz2	141623.0	14.274857799865668	0.33769691146740327	0.09816202170551394	0.06684648679946054
1367	ed	Science of education,	Boone, Richard G. 1849-1923.	1904.0	0.11123694699999999	loc.ark:/13960/t2t44bd1p	loc.ark+=13960=t2t44bd1p	basic/loc/pairtree_root/ar/k+/=1/39/60/=t/2t/44/bd/1p/ark+=13960=t2t44bd1p/loc.ark+=13960=t2t44bd1p.basic.json.bz2	12402.0	13.771269154705283	0.39126919967663704	0.10869214642799549	0.02427027898726012
