particular	1350	6687635
british	0	6681413
honour	1150	6658099
change	1175	6655269
appears	1250	6646914
born	900	6639883
felt	900	6636290
except	1350	6587248
proper	1250	6585343
child	900	6565014
attention	1325	6549607
call	901	6501745
idea	1400	6479890
prince	1175	6478798
enemy	1250	6448783
regard	1350	6448549
woman	900	6439514
care	900	6439007
began	900	6427306
west	900	6409590
keep	1000	6404372
late	900	6396513
j	0	6390604
knew	900	6390219
fine	1250	6377223
close	1050	6360105
equal	1350	6356750
immediately	1525	6349434
f	0	6335845
forms	1175	6331209
divine	1275	6328113
beyond	900	6321107
kept	1000	6319263
degree	1200	6281450
queen	900	6259569
real	1400	6255975
e	0	6240741
want	1150	6210032
distance	1250	6194285
speak	900	6191210
appeared	1250	6184305
pass	1175	6179204
answer	900	6158770
letters	1175	6138849
going	900	6135631
heaven	900	6120889
justice	1150	6093407
brother	1000	6079559
moral	1300	6050418
occasion	1350	6049318
places	950	6048369
eye	900	6024492
arms	900	6011936
seem	1150	5994076
lay	900	5977097
religious	1175	5967869
whatever	1	5963596
principles	1350	5947081
members	1250	5933384
henry	0	5930062
produced	1375	5923544
result	1375	5913326
followed	900	5902376
forth	900	5900184
march	1375	5899518
sufficient	1350	5896661
surface	1605	5871255
considerable	1400	5869077
council	1125	5859987
bring	900	5828289
charles	0	5823029
obtained	1375	5816244
american	0	5799637
required	1300	5794171
evidence	1300	5786905
principle	1350	5780391
amount	1250	5771213
beautiful	1225	5768819
fall	900	5756907
taking	1100	5736974
hour	1175	5733746
due	1275	5732000
vol	1350	5723797
n	0	5723409
portion	1250	5720812
laid	900	5693092
political	1545	5681579
met	900	5680358
york	0	5674748
mentioned	1250	5672078
james	0	5664212
dead	900	5662567
returned	1275	5661862
black	900	5661284
east	900	5639693
sun	900	5637779
favour	1250	5625174
royal	1325	5616199
women	900	5614727
judgement	1175	5614226
original	1300	5611832
similar	1605	5594936
appearance	1250	5582024
parliament	1250	5580988
living	900	5578397
looked	900	5568006
hear	900	5563146
duke	1100	5562909
observed	1350	5561711
bishop	900	5561173
employed	1425	5561040
single	1275	5554313
deep	900	5537647
century	1525	5534123
strength	900	5533714
none	900	5531279
dear	900	5525507
certainly	1250	5517755
nation	1250	5510495
captain	1325	5502295
self	900	5486582
longer	900	5483969
hold	900	5457219
conduct	1250	5454779
powers	1250	5438467
officers	1275	5438198
rule	1175	5431165
entirely	1350	5419606
class	1590	5400093
labour	1250	5391321
clear	1250	5369428
thee	1	5362954
turned	1000	5362239
crown	1125	5358594
island	900	5354957
unto	1	5351039
books	900	5337921
note	1175	5335030
live	900	5329304
lower	1125	5322649
feeling	900	5300210
future	1325	5295095
instead	900	5275715
supposed	1560	5273366
greatest	900	5271760
l	1	5271465
iron	900	5251696
battle	1250	5250857
mean	900	5247974
desire	1200	5237447
existence	1350	5228149
road	900	5221579
got	1150	5218773
principal	1250	5217471
hours	1175	5213965
pay	1150	5210714
pleasure	1325	5210257
asked	900	5207769
wish	900	5196296
kingdom	900	5194964
troops	1535	5189867
gold	900	5187114
turn	1000	5182106
voice	1250	5181575
direction	1375	5169444
paid	1150	5169357
fear	900	5163986
feel	900	5137484
mere	1250	5124435
command	1250	5109010
rome	0	5107318
field	900	5097024
jesus	1200	5088493
entered	1200	5081868
gives	900	5081102
ready	900	5073477
seven	900	5072960
governor	1250	5072247
evil	900	5069925
private	1350	5069620
practice	1375	5066800
led	900	5058607
established	1325	5057713
months	900	5052584
roman	0	5052311
need	900	5029538
cut	901	5026925
possession	1300	5025518
red	900	5011403
eight	900	4995469
published	1300	4982416
constitution	1350	4979671
paper	1325	4978338
trade	1300	4976497
majesty	1250	4975134
merely	1250	4966626
appointed	1325	4954798
stood	900	4953064
receive	1250	4950839
notice	1400	4947750
besides	1	4947488
example	1350	4945791
bill	1300	4944149
foreign	1200	4943720
hath	900	4940206
evening	1000	4939675
past	1175	4933923
species	1545	4933375
really	1400	4920471
around	1	4920149
simple	1175	4910521
perfect	1250	4898065
added	1325	4891988
charge	1175	4887361
experience	1350	4885307
success	1530	4878161
later	900	4878119
shown	900	4877851
europe	0	4867741
meet	900	4864394
houses	900	4856386
county	1250	4833972
frequently	1400	4830984
makes	900	4826432
fell	900	4804125
liberty	1325	4802924
horse	900	4801771
don	900	4789395
personal	1350	4785238
extent	1350	4769145
presence	1300	4750458
coming	900	4749962
learned	1300	4728538
george	0	4726926
table	900	4726057
foot	900	4725875
terms	1175	4721946
stand	900	4714632
suppose	1275	4713249
doctrine	1350	4712395
street	900	4702688
subjects	1275	4689494
hence	900	4688761
unless	900	4688421
iv	0	4687633
judge	1175	4685412
numerous	1580	4685167
giving	900	4674999
complete	1325	4674984
points	1175	4674741
allowed	1525	4670638
support	1350	4665490
bear	900	4658375
national	1250	4657149
union	1400	4652651
consequence	1350	4650599
instance	1300	4642832
anything	900	4637484
sure	1300	4637118
fig	0	4636632
fair	900	4634995
modern	1490	4630918
passage	1250	4628492
grace	1125	4624448
special	1175	4620886
hard	900	4620044
lines	1000	4599396
thirty	900	4598660
ye	1	4595668
america	0	4590030
produce	1375	4588615
acid	1620	4587584
loss	900	4585342
described	1400	4583193
low	1125	4571236
president	1325	4566968
behind	1	4558014
sight	900	4553785
story	1175	4551263
cold	900	4549949
importance	1495	4535556
measure	1250	4531457
raised	1595	4528431
higher	900	4527057
stone	900	4523739
easily	1150	4523118
gone	900	4520500
board	900	4518019
science	1300	4508893
ordinary	1250	4508091
emperor	1175	4496704
door	900	4494968
